Year  Population	Violent Crime Total	Murder and Nonnegligent Manslaughter	Forcible Rape	Robbery	Aggravated Assault	Property Crime Total	Burglary	Larceny-Theft	Motor Vehicle Theft
1980	23532680	210290	3411	13693	90420	102766	1633042	545138	913070	174834
1981	24159000	208485	3143	13566	93781	97995	1625302	540806	921939	162557
1982	24724000	201429	2779	12529	91988	94133	1599827	499466	935831	164530
1983	25174000	194491	2639	12093	85826	93933	1486487	460460	867123	158904
1984	25622000	195589	2717	11702	83924	97246	1461731	443094	857328	161309
1985	26365000	201763	2770	11421	86387	101185	1516710	448506	890967	177237
1986	26981000	248370	3038	12119	92512	140701	1576299	457698	913004	205597
1987	27663000	253943	2924	12109	83341	155569	1545928	419969	896335	229624
1988	28168000	261912	2936	11780	86141	161055	1607180	407631	933636	265913
1989	29063000	284136	3158	11966	96431	172581	1681516	410468	972603	298445
1990	29760021	311051	3553	12688	112208	182602	1654186	400392	951580	302214
1991	30380000	331122	3859	12896	124939	189428	1726391	424656	986120	315615
1992	30867000	345624	3921	12761	130897	198045	1716137	427491	968534	320112
1993	31211000	336381	4096	11766	126436	194083	1678884	414182	945407	319295
1994	31431000	318395	3703	10984	112160	191548	1622102	384257	929640	308205
1995	31589000	305154	3531	10554	104611	186458	1536830	353895	902456	280479
1996	31878000	274996	2916	10244	94222	167614	1385135	312212	830457	242466
1997	32268000	257582	2579	10189	81468	163346	1312367	299240	784405	228722
1998	32667000	229883	2171	9782	68782	149148	1188791	269012	724262	195517
1999	33145121	207879	2005	9363	60039	136472	1053285	223814	660991	168480
2000	33871648	210531	2079	9785	60249	138418	1056183	222293	651855	182035
2001	34600463	212867	2206	9960	64614	136087	1134189	232273	697739	204177
2002	35001986	208388	2395	10198	64968	130827	1176484	238428	715692	222364
2003	35462712	205551	2407	9994	63770	129380	1215086	242274	731486	241326
2004	35842038	189175	2392	9615	61768	115400	1227194	245903	728687	252604
2005	36154147	190178	2503	9392	63622	114661	1200531	250521	692467	257543
2006	36457549	194483	2486	9235	71142	111620	1159988	247230	669103	243655
2007	36553215	191561	2262	9046	70706	109547	1112510	237850	654526	220134
2008	36756666	185329	2142	8903	69388	104896	1080996	237811	650656	192529
2009	36961664	174934	1972	8713	64093	100156	1009433	230198	615402	163833
2010	37338198	164133	1809	8331	58116	95877	981939	228857	600558	152524
