Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2015-02-24 00:05:00,-11.8,-19.0,29.39,West,259,0.0,2.0,69,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 05:05:00, 
2015-02-24 00:20:00,-11.9,-19.0,29.39,West,259,0.0,2.0,70,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 05:20:00, 
2015-02-24 00:36:00,-12.3,-19.0,29.39,West,259,0.0,1.0,71,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 05:36:00, 
2015-02-24 00:51:00,-13.1,-20.0,29.39,West,259,0.0,0.0,72,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 05:51:00, 
2015-02-24 01:06:00,-13.5,-20.0,29.39,West,259,1.0,2.0,72,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 06:06:00, 
2015-02-24 01:21:00,-14.1,-21.0,29.38,West,259,0.0,0.0,72,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 06:21:00, 
2015-02-24 01:36:00,-15.1,-21.0,29.38,West,264,0.0,2.0,73,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 06:36:00, 
2015-02-24 01:51:00,-15.0,-21.0,29.37,West,275,1.0,2.0,74,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 06:51:00, 
2015-02-24 02:06:00,-13.1,-19.0,29.37,West,262,0.0,4.0,74,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 07:06:00, 
2015-02-24 02:21:00,-11.2,-18.0,29.36,NNE,23,0.0,3.0,71,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 07:21:00, 
2015-02-24 02:36:00,-11.9,-20.0,29.37,NNE,26,0.0,3.0,68,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 07:36:00, 
2015-02-24 02:51:00,-13.0,-20.0,29.37,NNE,25,0.0,3.0,70,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 07:51:00, 
2015-02-24 03:06:00,-13.9,-21.0,29.37,NNE,33,0.0,2.0,71,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 08:06:00, 
2015-02-24 03:21:00,-14.7,-20.0,29.38,NNE,33,0.0,0.0,75,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 08:21:00, 
2015-02-24 03:36:00,-15.4,-21.0,29.38,NNE,33,0.0,0.0,75,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 08:36:00, 
2015-02-24 03:52:00,-16.1,-22.0,29.38,NNE,28,0.0,2.0,76,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 08:52:00, 
2015-02-24 04:07:00,-16.8,-22.0,29.38,NNE,27,0.0,1.0,76,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 09:07:00, 
2015-02-24 04:22:00,-17.7,-23.0,29.37,NNE,28,0.0,0.0,77,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 09:22:00, 
2015-02-24 04:37:00,-18.3,-23.0,29.37,NNE,28,0.0,0.0,78,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 09:37:00, 
2015-02-24 04:52:00,-18.5,-23.0,29.36,NNE,28,0.0,0.0,78,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 09:52:00, 
2015-02-24 05:07:00,-18.7,-24.0,29.38,NNE,28,0.0,0.0,78,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 10:07:00, 
2015-02-24 05:22:00,-19.2,-24.0,29.38,NNE,25,1.0,3.0,78,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 10:22:00, 
2015-02-24 05:37:00,-19.5,-24.0,29.37,NNE,14,0.0,0.0,79,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 10:37:00, 
2015-02-24 05:52:00,-19.9,-24.0,29.36,NNE,14,0.0,1.0,79,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 10:52:00, 
2015-02-24 06:07:00,-20.2,-25.0,29.35,NNE,14,0.0,0.0,79,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 11:07:00, 
2015-02-24 06:22:00,-20.5,-25.0,29.35,NNE,14,0.0,0.0,80,0.00,,,0.00,weatherlink.com 1.10,2015-02-24 11:22:00, 
