Release Month  Release Date	Release Year	Movie	Budget ($M)	Domestic ($M)	Worldwide ($M)
12	18	2009	Avatar	425	760.507625	2783.918982
5	24	2007	Pirates of the Caribbean: At World's End	300	309.420425	960.996492
7	20	2012	The Dark Knight Rises	275	448.139099	1079.343943
7	2	2013	The Lone Ranger	275	89.28991	259.98991
3	9	2012	John Carter	275	73.058679	282.7781
11	24	2010	Tangled	260	200.821936	586.581936
5	4	2007	Spider-Man 3	258	336.530303	890.875303
12	14	2012	The Hobbit: An Unexpected Journey	250	303.003568	1014.703568
7	15	2009	Harry Potter and the Half-Blood Prince	250	301.959197	934.416487
12	13	2013	The Hobbit: The Desolation of Smaug	250	258.366855	950.466855
5	20	2011	Pirates of the Caribbean: On Stranger Tides	250	241.063875	1043.663875
6	28	2006	Superman Returns	232	200.12	390.874
11	14	2008	Quantum of Solace	230	169.368427	591.692078
5	4	2012	Marvel's The Avengers	225	623.279547	1514.279547
7	7	2006	Pirates of the Caribbean: Dead Man's Chest	225	423.315812	1060.615812
6	14	2013	Man of Steel	225	291.045518	667.999518
5	16	2008	The Chronicles of Narnia: Prince Caspian	225	141.62149	419.490286
7	3	2012	The Amazing Spider-Man	220	262.030663	757.890267
5	25	2012	Men in Black 3	215	179.020854	624.821154
6	24	2009	Transformers: Revenge of the Fallen	210	402.11187	836.519699
5	26	2006	X-Men: The Last Stand	210	234.362462	459.359555
5	14	2010	Robin Hood	210	105.487148	322.459006
5	18	2012	Battleship	209	65.2354	304.14272
12	14	2005	King Kong	207	218.080025	550.517357
12	1	2007	The Golden Compass	205	70.107728	372.234864
12	17	1997	Titanic	200	658.672302	2185.672302
6	18	2010	Toy Story 3	200	415.00488	1063.759456
5	3	2013	Iron Man 3	200	408.992272	1212.692272
6	30	2004	Spider-Man 2	200	373.524485	783.705001
3	5	2010	Alice in Wonderland	200	334.19111	1024.39111
11	8	2012	Skyfall	200	304.360277	1108.694081
3	8	2013	Oz the Great and Powerful	200	234.770996	489.570996
5	23	2014	X-Men: Days of Future Past	200	207.290131	664.890131
5	2	2014	The Amazing Spider-Man 2	200	198.504086	700.432364
6	24	2011	Cars 2	200	191.450875	560.155383
12	17	2010	Tron: Legacy	200	172.062763	397.562763
11	13	2009	2012	200	166.112167	788.408539
5	21	2009	Terminator Salvation: The Future Begins	200	125.322469	371.628539
6	17	2011	Green Lantern	200	116.601172	231.201172
5	28	2010	Prince of Persia: Sands of Time	200	90.759676	335.059676
6	29	2011	Transformers: Dark of the Moon	195	352.390543	1123.794076
3	1	2013	Jack the Giant Slayer	195	65.187603	197.387603
5	15	2013	Star Trek Into Darkness	190	228.778661	466.978661
6	21	2013	World War Z	190	202.359711	539.559711
5	10	2013	The Great Gatsby	190	144.840419	351.040419
11	6	2009	Disney's A Christmas Carol	190	137.855863	323.743744
7	12	2013	Pacific Rim	190	101.802906	411.002906
11	4	2006	A Christmas Carol	190	0	177.853834
5	2	2008	Iron Man	186	318.604126	582.443126
7	18	2008	The Dark Knight	185	533.345358	1002.891358
5	22	2008	Indiana Jones and the Kingdom of the Crystal Skull	185	317.023851	786.558145
6	22	2012	Brave	185	237.282182	554.606532
12	9	2005	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	180	291.710957	748.806957
6	27	2008	WALL-E	180	223.808164	532.590994
5	30	2014	Maleficent	180	165.291458	438.191458
8	10	2007	Rush Hour 3	180	140.125968	253.025968
11	23	2011	Hugo	180	73.864507	185.033215
6	6	2014	Edge of Tomorrow	178	58.673716	239.673716
5	29	2009	Up	175	293.004164	731.542621
3	27	2009	Monsters vs. Aliens	175	198.351526	381.68738
8	7	2009	G.I. Joe: The Rise of Cobra	175	150.201498	302.469017
6	30	1999	Wild Wild West	175	113.805681	221.229335
8	1	2008	The Mummy: Tomb of the Dragon Emperor	175	102.491776	405.760225
6	22	2007	Evan Almighty	175	100.28969	173.21928
7	28	1995	Waterworld	175	88.24622	264.24622
12	25	2013	47 Ronin	175	38.362475	150.94834
12	31	2012	Singularity	175	0	0
5	7	2010	Iron Man 2	170	312.433331	623.561331
4	4	2014	Captain America: The Winter Soldier	170	256.334467	710.434467
