"","Assault","Murder","UrbanPop"
"Alabama",236,13.2,58
"Alaska",263,10,48
"Arizona",294,8.1,80
"Arkansas",190,8.8,50
"California",276,9,91
"Colorado",204,7.9,78
"Connecticut",110,3.3,77
"Delaware",238,5.9,72
"Florida",335,15.4,80
"Georgia",211,17.4,60
"Hawaii",46,5.3,83
"Idaho",120,2.6,54
"Illinois",249,10.4,83
"Indiana",113,7.2,65
"Iowa",56,2.2,57
"Kansas",115,6,66
"Kentucky",109,9.7,52
"Louisiana",249,15.4,66
"Maine",83,2.1,51
"Maryland",300,11.3,67
"Massachusetts",149,4.4,85
"Michigan",255,12.1,74
"Minnesota",72,2.7,66
"Mississippi",259,16.1,44
"Missouri",178,9,70
"Montana",109,6,53
"Nebraska",102,4.3,62
"Nevada",252,12.2,81
"New Hampshire",57,2.1,56
"New Jersey",159,7.4,89
"New Mexico",285,11.4,70
"New York",254,11.1,86
"North Carolina",337,13,45
"North Dakota",45,0.8,44
"Ohio",120,7.3,75
"Oklahoma",151,6.6,68
"Oregon",159,4.9,67
"Pennsylvania",106,6.3,72
"Rhode Island",174,3.4,87
"South Carolina",279,14.4,48
"South Dakota",86,3.8,45
"Tennessee",188,13.2,59
"Texas",201,12.7,80
"Utah",120,3.2,80
"Vermont",48,2.2,32
"Virginia",156,8.5,63
"Washington",145,4,73
"West Virginia",81,5.7,39
"Wisconsin",53,2.6,66
"Wyoming",161,6.8,60
